Date,Time,Day,Station,Code,Min Delay,Min Gap,Bound,Line,Vehicle
2019-07-01,00:10,Monday,YORK MILLS STATION,MUSC,0,0,S,YU,5991
2019-07-01,00:44,Monday,WARDEN STATION,SUUT,14,18,W,BD,5186
2019-07-01,05:53,Monday,COXWELL STATION,MUSC,0,0,E,BD,5015
2019-07-01,05:57,Monday,ST PATRICK STATION,MUATC,7,0,S,YU,5746
2019-07-01,06:15,Monday,MCCOWAN STATION,PRTST,3,9,N,SRT,3021
2019-07-01,07:12,Monday,ST PATRICK STATION,EUATC,0,0,N,YU,5741
2019-07-01,07:15,Monday,QUEEN'S PARK TO ST CLA,EUATC,7,12,N,YU,5741
2019-07-01,08:11,Monday,DUFFERIN STATION,EUSC,0,0,W,BD,5127
2019-07-01,08:12,Monday,CHESTER STATION,TUSC,0,0,W,BD,5096
2019-07-01,08:45,Monday,NORTH YORK CTR STATION,TUSC,0,0,S,YU,5591
2019-07-01,10:02,Monday,KENNEDY BD STATION,MUPAA,4,8,W,BD,5311
2019-07-01,10:07,Monday,VICTORIA PARK STATION,MUPAA,0,0,W,BD,5197
2019-07-01,10:18,Monday,FINCH STATION,TUNIP,4,9,S,YU,5836
2019-07-01,12:18,Monday,SCARBOROUGH CTR STATIO,ERDO,3,9,S,SRT,3018
2019-07-01,12:57,Monday,BLOOR STATION,TUOS,0,0,S,YU,5411
2019-07-01,14:35,Monday,ST GEORGE YUS STATION,MUPAA,3,7,N,YU,5661
2019-07-01,15:38,Monday,DOWNSVIEW PARK STATION,MUPAA,0,0,N,YU,5466
2019-07-01,15:44,Monday,ST CLAIR WEST STATION,MUD,5,9,S,YU,5996
2019-07-01,16:06,Monday,YORKDALE STATION,MUO,0,0,,YU,0
2019-07-01,17:46,Monday,COXWELL STATION,TUNIP,7,11,W,BD,5076
2019-07-01,18:13,Monday,QUEEN'S PARK STATION,SUDP,0,0,N,YU,5411
2019-07-01,18:44,Monday,DOWNSVIEW PARK STATION,PUMEL,0,0,,YU,0
2019-07-01,19:27,Monday,SHEPPARD-YONGE STATION,TUSC,0,0,E,SHP,6161
2019-07-01,20:13,Monday,WOODBINE STATION,MUTO,7,12,E,BD,5072
2019-07-01,20:27,Monday,BROADVIEW STATION,SUDP,6,11,E,BD,5177
2019-07-01,21:11,Monday,VAUGHAN MC STATION,EUTRD,4,9,S,YU,6021
2019-07-01,22:00,Monday,YUS/BD/SHEPPARD SUBWAY,MUO,0,0,,YU/BD,0
2019-07-01,22:09,Monday,SPADINA BD STATION,MUIS,0,0,,BD,0
2019-07-01,23:17,Monday,VAUGHAN MC STATION,EUATC,5,10,S,YU,6081
2019-07-01,23:34,Monday,BATHURST STATION,SUAE,0,0,,BD,0
2019-07-01,23:45,Monday,VAUGHAN MC STATION,TUNIP,4,9,S,YU,5496
2019-07-02,00:14,Tuesday,SHERBOURNE STATION,MUPAA,3,7,E,BD,5037
2019-07-02,03:02,Tuesday,VAUGHAN MC STATION,MUIS,0,0,,YU,0
2019-07-02,06:39,Tuesday,SCARBOROUGH CTR STATIO,ERTC,3,10,S,SRT,3008
2019-07-02,06:43,Tuesday,YONGE BD STATION,EUCO,3,5,W,BD,5044
2019-07-02,06:47,Tuesday,SHEPPARD STATION,TUOS,0,0,N,YU,5776
2019-07-02,06:50,Tuesday,120 CARTWRIGHT AVE,SUROB,0,0,,999,0
2019-07-02,06:52,Tuesday,ST GEORGE BD STATION,EUCD,3,5,W,BD,5044
2019-07-02,07:12,Tuesday,FINCH STATION,MUTO,3,5,S,YU,5946
2019-07-02,07:32,Tuesday,ST CLAIR WEST STATION,MUDD,5,7,N,YU,5471
2019-07-02,07:53,Tuesday,CHESTER STATION,EUDO,5,7,W,BD,5321
2019-07-02,07:57,Tuesday,ST CLAIR WEST STATION,MUATC,3,5,S,YU,6016
2019-07-02,08:10,Tuesday,YONGE BD STATION,MUI,4,6,W,BD,5024
2019-07-02,08:12,Tuesday,MCCOWAN STATION,ERCO,6,12,N,SRT,3003
2019-07-02,08:13,Tuesday,ST GEORGE BD STATION,MUI,0,0,W,BD,5024
2019-07-02,08:24,Tuesday,YORK MILLS STATION,TUSC,0,0,S,YU,5911
2019-07-02,08:27,Tuesday,ST PATRICK STATION,MUI,7,9,S,YU,5681
2019-07-02,08:32,Tuesday,MUSEUM STATION,MUPAA,0,0,S,YU,5426
2019-07-02,08:46,Tuesday,FINCH STATION,TUSC,0,0,S,YU,6131
2019-07-02,09:15,Tuesday,VICTORIA PARK STATION,MUIS,0,0,W,BD,0
2019-07-02,09:18,Tuesday,ST GEORGE YUS STATION,MUIS,0,0,,YU,0
2019-07-02,09:38,Tuesday,HIGHWAY 407 STATION,EUDO,5,8,S,YU,6001
2019-07-02,09:54,Tuesday,GLENCAIRN STATION,MUPAA,3,6,S,YU,5731
2019-07-02,11:08,Tuesday,DUNDAS STATION,MUIS,0,0,,YU,0
2019-07-02,11:13,Tuesday,NORTH YORK CTR STATION,EUSC,0,0,S,YU,6131
2019-07-02,11:19,Tuesday,DUNDAS STATION,MUIS,0,0,S,YU,0
2019-07-02,11:30,Tuesday,DAVISVILLE STATION,TUCC,3,6,S,YU,5801
2019-07-02,11:46,Tuesday,KENNEDY BD STATION,MUTD,0,0,E,BD,5329
2019-07-02,11:55,Tuesday,ROSEDALE STATION,SUAE,10,13,N,YU,5381
2019-07-02,12:14,Tuesday,YONGE BD STATION,MUPAA,5,8,W,BD,5295
2019-07-02,12:21,Tuesday,DAVISVILLE STATION,EUBK,5,8,N,YU,5921
2019-07-02,13:04,Tuesday,YORK MILLS STATION,PUSTS,0,0,S,YU,6031
2019-07-02,13:08,Tuesday,CHRISTIE STATION,SUUT,10,13,W,BD,5088
2019-07-02,14:18,Tuesday,MCCOWAN STATION,MRWEA,0,0,,SRT,0
2019-07-02,14:21,Tuesday,DUPONT STATION,SUO,3,6,S,YU,5431
2019-07-02,14:35,Tuesday,VICTORIA PARK STATION,SUUT,3,6,W,BD,5330
2019-07-02,14:50,Tuesday,QUEEN'S PARK STATION,MUIRS,0,0,,YU,0
2019-07-02,15:40,Tuesday,WOODBINE STATION,MUSC,0,0,E,BD,5037
2019-07-02,16:27,Tuesday,ST CLAIR STATION,MUPAA,0,0,N,YU,6071
2019-07-02,16:29,Tuesday,DAVISVILLE STATION,TUNIP,0,0,S,YU,6126
2019-07-02,16:30,Tuesday,YORK MILLS STATION,TUMVS,6,8,N,YU,5631
2019-07-02,16:45,Tuesday,KIPLING STATION,MUSC,0,0,E,BD,5037
2019-07-02,16:53,Tuesday,CHRISTIE STATION,MUPAA,0,0,E,BD,5072
2019-07-02,17:01,Tuesday,LAWRENCE STATION,MUPAA,0,0,N,YU,5686
2019-07-02,17:11,Tuesday,KIPLING STATION,MUDD,3,6,E,BD,5332
2019-07-02,17:21,Tuesday,LAWRENCE STATION,MUIRS,0,0,,YU,0
2019-07-02,17:38,Tuesday,UNION STATION,MUIS,0,0,,YU,0
2019-07-02,17:57,Tuesday,KIPLING STATION,MUSC,0,0,E,BD,5098
2019-07-02,18:08,Tuesday,ST PATRICK STATION,MUATC,17,20,N,YU,5826
2019-07-02,20:22,Tuesday,ST PATRICK STATION,EUDO,0,0,N,YU,5786
2019-07-02,20:26,Tuesday,PAPE STATION,MUPAA,3,6,E,BD,5241
2019-07-02,20:31,Tuesday,JANE STATION,MUIRS,0,0,,BD,0
2019-07-02,20:45,Tuesday,ST GEORGE BD STATION,PUMEL,0,0,,BD,0
2019-07-02,21:43,Tuesday,VAUGHAN MC STATION,EUCD,0,0,S,YU,6001
2019-07-02,22:00,Tuesday,YUS/BD/SHEPPARD SUBWAY,MUO,0,0,,YU/BD,0
2019-07-02,22:12,Tuesday,KEELE STATION,TUSC,0,0,W,BD,5028
2019-07-02,23:01,Tuesday,OSSINGTON STATION,MUD,3,7,W,BD,5261
2019-07-03,00:37,Wednesday,PAPE STATION,TUOS,3,7,E,BD,5287
2019-07-03,05:33,Wednesday,FINCH STATION,MUO,3,6,N,YU,5981
2019-07-03,05:44,Wednesday,MUSEUM STATION,PUMO,0,0,,YU,0
2019-07-03,05:47,Wednesday,ST GEORGE BD STATION,MUIS,0,0,,BD,0
2019-07-03,06:23,Wednesday,CHESTER STATION,SUO,3,8,W,BD,5349
2019-07-03,06:27,Wednesday,DAVISVILLE STATION,TUMVS,0,0,S,YU,6006
2019-07-03,06:32,Wednesday,COXWELL STATION,MUSC,0,0,E,BD,5261
2019-07-03,06:42,Wednesday,COXWELL STATION,MUSC,0,0,E,BD,5205
2019-07-03,07:32,Wednesday,ST PATRICK STATION,MUSC,0,0,S,YU,5496
2019-07-03,08:29,Wednesday,YONGE BD STATION,MUDD,4,6,W,BD,5043
2019-07-03,09:49,Wednesday,COXWELL STATION,MUTO,3,6,W,BD,5349
2019-07-03,10:50,Wednesday,SHEPPARD-YONGE STATION,TUSC,0,0,E,SHP,6161
2019-07-03,12:16,Wednesday,SCARBOROUGH RAPID TRAN,MRWEA,0,0,,SRT,0
2019-07-03,12:53,Wednesday,CASTLE FRANK STATION,SUO,0,0,W,BD,5110
2019-07-03,14:08,Wednesday,JANE STATION,TUSC,0,0,W,BD,5158
2019-07-03,14:42,Wednesday,OSGOODE STATION,EUDO,6,9,N,YU,5396
2019-07-03,14:58,Wednesday,DUNDAS STATION,MUIS,0,0,S,YU,0
2019-07-03,15:41,Wednesday,ST CLAIR WEST STATION,SUDP,0,0,,YU,0
2019-07-03,16:12,Wednesday,VAUGHAN MC STATION,MUTO,3,6,S,YU,5551
2019-07-03,16:35,Wednesday,FINCH STATION,MUIS,0,0,,YU,0
2019-07-03,16:44,Wednesday,VICTORIA PARK STATION,MUO,0,0,E,BD,5348
2019-07-03,16:49,Wednesday,ST GEORGE BD STATION,TUSC,0,0,W,BD,5189
2019-07-03,16:53,Wednesday,KIPLING STATION,TUSC,0,0,W,BD,5330
2019-07-03,16:59,Wednesday,QUEEN STATION,MUSC,0,0,N,YU,5426
2019-07-03,17:05,Wednesday,WILSON STATION,MUATC,3,5,S,YU,5606
2019-07-03,17:38,Wednesday,SUMMERHILL STATION,EUBK,0,0,S,YU,5946
2019-07-03,18:07,Wednesday,JANE STATION,TUSC,0,0,W,BD,5257
2019-07-03,18:32,Wednesday,QUEEN STATION,SUAP,6,8,S,YU,5996
2019-07-03,20:08,Wednesday,ST CLAIR WEST STATION,MUPAA,0,0,N,YU,5636
2019-07-03,20:57,Wednesday,KING STATION,SUDP,0,0,N,YU,5441
2019-07-03,21:09,Wednesday,VAUGHAN MC STATION,MUTO,3,8,S,YU,5546
2019-07-03,21:19,Wednesday,BLOOR STATION,MUIS,0,0,S,YU,0
2019-07-03,22:00,Wednesday,YUS/BD/SHEPPARD SUBWAY,MUO,0,0,,YU/BD,0
2019-07-03,22:46,Wednesday,VICTORIA PARK STATION,SUDP,0,0,,BD,0
2019-07-03,22:47,Wednesday,ST GEORGE BD STATION,TUSC,0,0,W,BD,5158
2019-07-04,00:05,Thursday,QUEEN STATION,MUIS,0,0,S,YU,0
2019-07-04,00:46,Thursday,HIGHWAY 407 STATION,SUAP,5,10,S,YU,5596
2019-07-04,01:35,Thursday,YONGE AND BLOOR,SUAE,0,0,,YU,0
2019-07-04,02:19,Thursday,VICTORIA PARK STATION,MUIS,0,0,,BD,0
2019-07-04,03:32,Thursday,EGLINTON TO LAWRENCE,PUTWZ,0,0,,YU,0
2019-07-04,03:59,Thursday,KING STATION,PUTTC,0,0,S,YU,0
2019-07-04,05:38,Thursday,YORK MILLS STATION,PUTWZ,5,0,N,YU,6131
2019-07-04,05:51,Thursday,SHEPPARD WEST STATION,EUCD,4,0,N,YU,5851
2019-07-04,05:53,Thursday,KIPLING STATION,SUG,3,6,E,BD,5136
2019-07-04,06:01,Thursday,SHEPPARD WEST STATION,EUOE,10,20,N,YU,6041
2019-07-04,06:03,Thursday,WILSON STATION,EUCD,3,5,S,YU,5866
2019-07-04,06:04,Thursday,KIPLING STATION,MUSC,0,0,E,BD,5016
2019-07-04,06:11,Thursday,ISLINGTON STATION,MUIS,0,0,,BD,0
2019-07-04,06:11,Thursday,KIPLING STATION,MUSC,3,9,E,BD,5044
2019-07-04,06:27,Thursday,UNION TO KING,MUIE,0,0,,YU,0
2019-07-04,06:34,Thursday,ST CLAIR STATION,MUSC,0,0,S,YU,5661
2019-07-04,07:25,Thursday,RUNNYMEDE STATION,EUDO,4,6,E,BD,5027
2019-07-04,07:56,Thursday,ROSEDALE STATION,MUSC,0,0,N,YU,5991
2019-07-04,08:37,Thursday,YONGE BD STATION,MUPLB,9,11,W,BD,5252
2019-07-04,08:57,Thursday,PAPE STATION,MUI,7,9,W,BD,5192
2019-07-04,09:02,Thursday,CASTLE FRANK STATION,MUIS,0,0,,BD,0
2019-07-04,09:54,Thursday,KIPLING STATION,MUSC,0,0,E,BD,5141
2019-07-04,10:15,Thursday,CASTLE FRANK STATION,MUPAA,0,0,W,BD,5058
2019-07-04,10:39,Thursday,DUNDAS WEST STATION,TUSC,0,0,W,BD,5123
2019-07-04,11:00,Thursday,KIPLING STATION,SUDP,3,6,E,BD,5173
2019-07-04,11:00,Thursday,SCARBOROUGH RAPID TRAN,MRWEA,0,0,,SRT,0
2019-07-04,11:07,Thursday,OSSINGTON STATION,MUIR,4,7,E,BD,5332
2019-07-04,11:41,Thursday,KIPLING STATION,EUSC,0,0,E,BD,5141
2019-07-04,11:41,Thursday,YORKDALE STATION,MUO,0,0,,,0
2019-07-04,12:15,Thursday,SHERBOURNE STATION,MUTD,0,0,E,BD,5054
2019-07-04,12:25,Thursday,UNION STATION,PUMEL,0,0,,YU,0
2019-07-04,12:34,Thursday,VAUGHAN MC STATION,MUTO,3,6,S,YU,5451
2019-07-04,13:00,Thursday,WILSON STATION,MUATC,0,0,S,YU,5976
2019-07-04,13:13,Thursday,VAUGHAN MC STATION,MUI,0,0,S,YU,5906
2019-07-04,13:18,Thursday,FINCH STATION,PUMO,0,0,,YU,0
2019-07-04,13:47,Thursday,VAUGHAN MC STATION,MUCL,3,6,S,YU,6001
2019-07-04,14:03,Thursday,MUSEUM STATION,MUTO,12,15,S,YU,5706
2019-07-04,14:32,Thursday,MCCOWAN STATION,TRNIP,3,10,S,SRT,3018
2019-07-04,14:37,Thursday,COXWELL STATION,TUNIP,0,0,W,BD,5282
2019-07-04,14:55,Thursday,JANE STATION,TUSC,0,0,W,BD,5249
2019-07-04,14:59,Thursday,VAUGHAN MC STATION,MUPAA,0,0,N,YU,6091
2019-07-04,15:21,Thursday,ST GEORGE BD STATION,TUSC,0,0,W,BD,5157
2019-07-04,15:23,Thursday,DOWNSVIEW PARK STATION,SUDP,6,8,S,YU,5796
2019-07-04,15:51,Thursday,ISLINGTON STATION,SUDP,0,0,,BD,0
2019-07-04,15:53,Thursday,SHEPPARD WEST STATION,MUIS,0,0,N,YU,0
2019-07-04,16:33,Thursday,KENNEDY BD STATION,EUPI,3,6,W,BD,5003
2019-07-04,16:38,Thursday,YORKDALE STATION,MUPAA,0,0,N,YU,5936
2019-07-04,16:45,Thursday,NORTH YORK CTR STATION,MUPAA,0,0,N,YU,5946
2019-07-04,16:51,Thursday,SCARBOROUGH CTR STATIO,ERTC,4,11,S,SRT,3000
2019-07-04,17:12,Thursday,BLOOR STATION,MUIRS,0,0,,YU,0
2019-07-04,17:23,Thursday,LANSDOWNE STATION,MUIS,0,0,,BD,0
2019-07-04,17:24,Thursday,QUEEN'S PARK STATION,PUMEL,0,0,,YU,0
2019-07-04,17:52,Thursday,GLENCAIRN STATION,EUME,10,12,S,YU,6001
2019-07-04,17:55,Thursday,ROSEDALE STATION,MUO,3,5,N,YU,5651
2019-07-04,18:00,Thursday,DUFFERIN STATION,TUS,4,6,E,BD,5112
2019-07-04,18:00,Thursday,NORTH YORK CTR STATION,MUI,4,6,N,YU,5886
2019-07-04,18:15,Thursday,COXWELL STATION,SUAP,0,0,,BD,5156
2019-07-04,18:22,Thursday,CASTLE FRANK STATION,MUSC,0,0,,BD,5112
2019-07-04,18:29,Thursday,ST PATRICK STATION,EUME,15,17,N,YU,5826
2019-07-04,18:30,Thursday,EGLINTON STATION,MUIS,0,0,,YU,0
2019-07-04,19:21,Thursday,ST GEORGE BD STATION,MUIS,0,0,W,BD,5299
2019-07-04,19:27,Thursday,KENNEDY BD STATION,MUNOA,0,0,,BD,0
2019-07-04,20:59,Thursday,COLLEGE STATION,MUIRS,0,0,,YU,0
2019-07-04,21:02,Thursday,DAVISVILLE STATION,TUNIP,11,14,N,YU,6061
2019-07-04,21:12,Thursday,SHEPPARD-YONGE STATION,TUSC,0,0,E,SHP,6186
2019-07-04,22:00,Thursday,YUS/BD/SHEPPARD SUBWAY,MUO,0,0,,YU/BD,0
2019-07-04,23:47,Thursday,CHRISTIE STATION,TUSC,0,0,W,BD,5249
2019-07-05,00:18,Friday,OSSINGTON STATION,EUDO,6,10,E,BD,5355
2019-07-05,00:28,Friday,KEELE STATION,MUIS,0,0,,BD,0
2019-07-05,00:33,Friday,JANE STATION,TUSC,0,0,W,BD,5222
2019-07-05,00:35,Friday,CASTLE FRANK STATION,EUCD,4,9,E,BD,5355
2019-07-05,01:24,Friday,SHEPPARD WEST STATION,MUI,15,20,S,YU,5671
2019-07-05,02:09,Friday,EGLINTON WEST STATION,MUIS,0,0,,YU,0
2019-07-05,05:46,Friday,WILSON STATION,MUATC,4,0,S,YU,5521
2019-07-05,05:59,Friday,SHEPPARD-YONGE STATION,SUG,0,0,E,SHP,6161
2019-07-05,07:14,Friday,WILSON STATION,TUNIP,3,5,S,YU,6066
2019-07-05,07:20,Friday,WILSON STATION,MUTO,3,5,S,YU,5546
2019-07-05,07:31,Friday,ST PATRICK STATION,MUSC,0,0,S,YU,6011
2019-07-05,07:54,Friday,LAWRENCE EAST STATION,MRUI,5,10,S,SRT,3002
2019-07-05,08:07,Friday,KENNEDY BD STATION,MUSC,0,0,W,BD,5264
2019-07-05,08:12,Friday,WARDEN STATION,PUSTC,6,9,E,BD,5355
2019-07-05,08:27,Friday,KIPLING STATION,MUIR,3,5,W,BD,5187
2019-07-05,08:56,Friday,OSGOODE STATION,TUSC,0,0,S,YU,6116
2019-07-05,09:18,Friday,ST ANDREW STATION,MUPAA,0,0,S,YU,5931
2019-07-05,09:20,Friday,YORKDALE STATION,EUBK,4,6,N,YU,6116
2019-07-05,09:25,Friday,SCARBOROUGH RAPID TRAN,MRWEA,0,0,,SRT,0
2019-07-05,09:27,Friday,COXWELL STATION,MUIRS,0,0,,BD,0
2019-07-05,09:36,Friday,DUPONT STATION,MUPAA,0,0,N,YU,5611
2019-07-05,09:42,Friday,FINCH WEST STATION,MUATC,0,0,N,YU,5916
2019-07-05,10:23,Friday,VAUGHAN MC STATION,TUNIP,0,0,S,YU,6071
2019-07-05,10:32,Friday,VAUGHAN MC STATION,TUNIP,0,0,S,YU,5671
2019-07-05,10:39,Friday,DUNDAS STATION,MUIS,0,0,,YU,0
2019-07-05,10:39,Friday,EGLINTON STATION,MUIS,0,0,,YU,0
2019-07-05,11:13,Friday,LAWRENCE EAST STATION,SRCOL,0,0,N,SRT,3025
2019-07-05,11:22,Friday,WILSON STATION,MUATC,0,0,S,YU,5786
2019-07-05,11:42,Friday,LAWRENCE EAST STATION,TRTC,0,0,N,SRT,3025
2019-07-05,11:55,Friday,FINCH STATION,MUTO,4,7,S,YU,5946
2019-07-05,12:04,Friday,CHESTER STATION,TUSC,0,0,E,BD,5081
2019-07-05,12:27,Friday,COXWELL STATION,SUO,0,0,W,BD,5137
2019-07-05,12:30,Friday,DOWNSVIEW PARK STATION,MUATC,4,7,S,YU,5721
